INFO 05/17/2025 11:05:19 PM:  OpenAI model is set to gpt-4.1-2025-04-14
INFO 05/17/2025 11:05:19 PM:  Validation file is set to /home/nitesh/research/conceptual-spaces/data/easy_test_tastes_2040.jsonl
INFO 05/17/2025 11:05:19 PM:  Question: This question is about two food items: Is mix fruits stewed generally sweeter in taste than tartiflette ?, Answer: Yes, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:20 PM:  Question: This question is about two food items: Is canned sardines generally sweeter in taste than grapefruit with sugar?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:20 PM:  Question: This question is about two food items: Is strawberry with lemon juice generally sweeter in taste than melon water?, Answer: Yes, Prediction: No, Response: No
INFO 05/17/2025 11:05:21 PM:  Question: This question is about two food items: Is rice pudding generally sweeter in taste than rye bread with butter?, Answer: Yes, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:22 PM:  Question: This question is about two food items: Is pasta with gravy generally sweeter in taste than strong lager?, Answer: Yes, Prediction: No, Response: No
INFO 05/17/2025 11:05:22 PM:  Question: This question is about two food items: Is whole wheat bread generally sweeter in taste than fish and seafood terrines?, Answer: Yes, Prediction: No, Response: No
INFO 05/17/2025 11:05:23 PM:  Question: This question is about two food items: Is white bread generally sweeter in taste than whole wheat sandwich bread with Nutella spread?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:24 PM:  Question: This question is about two food items: Is whole wheat bread generally sweeter in taste than mashed potatoes?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:25 PM:  Question: This question is about two food items: Is raclette cheese generally sweeter in taste than clementine?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:26 PM:  Question: This question is about two food items: Is smoked salmon  generally sweeter in taste than cracker with jam?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:26 PM:  Question: This question is about two food items: Is strawberry juice generally sweeter in taste than plain yogurt with jam?, Answer: Yes, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:27 PM:  Question: This question is about two food items: Is stewed peach  generally sweeter in taste than stewed rhubarb ?, Answer: Yes, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:28 PM:  Question: This question is about two food items: Is hake in tinfoil generally sweeter in taste than spread with bread?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:29 PM:  Question: This question is about two food items: Is breakfast cereals with milk generally sweeter in taste than grilled sardines?, Answer: Yes, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:29 PM:  Question: This question is about two food items: Is champagne generally sweeter in taste than sweet cookies with chocolate?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:30 PM:  Question: This question is about two food items: Is blackberry jam generally sweeter in taste than strong lager?, Answer: Yes, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:31 PM:  Question: This question is about two food items: Is cracker with dairy fat generally sweeter in taste than fruit crumble?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:33 PM:  Question: This question is about two food items: Is smoked ham generally sweeter in taste than champagne?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:33 PM:  Question: This question is about two food items: Is stewed apple generally sweeter in taste than rye bread without butter?, Answer: Yes, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:34 PM:  Question: This question is about two food items: Is white bread with butter and honey generally sweeter in taste than red wine ?, Answer: Yes, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:35 PM:  Question: This question is about two food items: Is strawberry juice generally sweeter in taste than whole wheat sandwich bread with Nutella spread?, Answer: Yes, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:36 PM:  Question: This question is about two food items: Is bun generally sweeter in taste than white sandwich bread with jam and dairy fat?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:36 PM:  Question: This question is about two food items: Is waffle generally sweeter in taste than cracker with butter and jam?, Answer: No, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:37 PM:  Question: This question is about two food items: Is omelette with vinegar generally sweeter in taste than sweet pancake with Nutella spread?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:38 PM:  Question: This question is about two food items: Is grapefruit generally sweeter in taste than dried kiwi?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:39 PM:  Question: This question is about two food items: Is rice pudding generally sweeter in taste than muffin?, Answer: Yes, Prediction: No, Response: No
INFO 05/17/2025 11:05:39 PM:  Question: This question is about two food items: Is flavoured light yogurt drink generally sweeter in taste than tea with sugar ?, Answer: Yes, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:40 PM:  Question: This question is about two food items: Is smoked salmon  generally sweeter in taste than macaroons?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:41 PM:  Question: This question is about two food items: Is radish with salt and butter generally sweeter in taste than cola soda?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:41 PM:  Question: This question is about two food items: Is white bread with butter generally sweeter in taste than strawberry with sugar?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:42 PM:  Question: This question is about two food items: Is muskmelon  generally sweeter in taste than Kiri cheese?, Answer: Yes, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:43 PM:  Question: This question is about two food items: Is shortbread generally sweeter in taste than white chocolate?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:44 PM:  Question: This question is about two food items: Is rusk with butter and jam generally sweeter in taste than nectarine?, Answer: Yes, Prediction: Yes, Response: Yes
INFO 05/17/2025 11:05:44 PM:  Question: This question is about two food items: Is peas generally sweeter in taste than fromage blanc with fruits?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:45 PM:  Question: This question is about two food items: Is broccoli with cream generally sweeter in taste than quiches?, Answer: Yes, Prediction: No, Response: No
INFO 05/17/2025 11:05:46 PM:  Question: This question is about two food items: Is radish generally sweeter in taste than stuffed chicken?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:47 PM:  Question: This question is about two food items: Is radish with salt generally sweeter in taste than fortified wines?, Answer: No, Prediction: No, Response: No
INFO 05/17/2025 11:05:48 PM:  Question: This question is about two food items: Is steamed cod with mayonnaise generally sweeter in taste than plain yogurt with jam?, Answer: No, Prediction: No, Response: No
